matn,cpc
سیب‌زمینی هندی ,1593
یام ,1593
"ریشه‌ها و غده‌های خوراکی حاوی مقدار زیادی نشاسته یا اینولین، طبقه‌بندی نشده در جای دیگر",1599
تاکا,1599
تانیا ,1599
ریشه لوتوس,1599
ساقه زیرزمینی ,1599
سالپ ,1599
سیب‌زمینی ترشی,1599
کوکو یام ,1599
گوش فیل ,1599
"لوف، داشین",1599
مارانتا,1599
ماکابو,1599
مالانگا,1599
یاتیا,1599
" محصولات معطر، دارویی و ادویه‌ها",16
"قهوه، سبز  ",161
"قهوه، سبز  ",1610
"قهوه، سبز  ",1610
برگ چای,162
برگ چای,1620
برگ چای,1620
برگ چای خاس,163
برگ چای خاس,1630
برگ چای خاس,1630
دانه کاکائو,164
دانه کاکائو,1640
دانه کاکائو,1640
"ادویه‌ها و محصولات معطر، فراوری نشده  ",165
"فلفل (خانواده فلفل سیاه)، فراوری نشده ",1651
"فلفل سیاه، فراوری نشده ",1651
"فلفل هندی و انواع مشابه، خشک (فلفل دلمه‌ای، فلفل ‌فرنگی)، فراوری نشده ",1652
"پاپریکا، فلفل شیرین خشک فراوری نشده ",1652
ثمره خام و خشک کرده گیاهان جنس پیمنتا خشک فراوری نشده ,1652
ثمره خام و خشک کرده گیاهان جنس فلفل دلمه‌ای فراوری نشده ,1652
فلفل آفریقایی خشک فراوری نشده ,1652
فلفل آناهایم خشک فراوری نشده ,1652
فلفل آنچو خشک فراوری نشده ,1652
فلفل جالاپنو خشک فراوری نشده ,1652
فلفل جامائیکایی خشک فراوری نشده ,1652
فلفل دلمه‌ای خشک فراوری نشده ,1652
فلفل شیرین خشک فراوری نشده ,1652
فلفل ‌فرنگی خشک فراوری نشده ,1652
فلفل قرمز خشک فراوری نشده ,1652
فلفل کبیر خشک فراوری نشده ,1652
فلفل گینه خشک فراوری نشده ,1652
فلفل هندی خشک فراوری نشده ,1652
"جوز هندی، جوز بویا، هل، فراوری نشده ",1653
"جوز بویا، فراوری نشده ",1653
جوز هندی واقعی و بسیاری انواع «جوز کاذب» فراوری نشده,1653
هل فراوری نشده ,1653
هل کاذب گونه افراموم فراوری نشده ,1653
هل کاذب گونه آموموم فراوری نشده ,1653
هل کاذب فراوری نشده ,1653
"انیسون، بادیان، تخم گشنیز، زیره سبز، زیره سیاه (زیره کرمانی)، رازیانه و دانه سرو کوهی، فراوری نشده ",1654
استار انیسون (بادیان) فراوری نشده ,1654
استار انیسون چینی فراوری نشده ,1654
انیسون (بادیان) فراوری نشده ,1654
تخم گشنیز فراوری نشده ,1654
دانه سرو کوهی فراوری نشده ,1654
رازیانه فراوری نشده ,1654
زیره سبز فراوری نشده ,1654
زیره سبز مرتعی ,1654
زیره سیاه فراوری نشده ,1654
زیره کرمانی فراوری نشده ,1654
"دارچین (کانلا)، فراوری نشده  ",1655
"دارچین (کانلا)، فراوری نشده ",1655
"قرنفل/میخک (ساقه‌های کامل)، فراوری نشده  ",1656
قرنفل فراوری نشده ,1656
میخک (ساقه کامل) فراوری نشده ,1656
"زنجبیل، فراوری نشده                        ",1657
زنجبیل فراوری نشده ,1657
"وانیل، فراوری نشده                       ",1658
وانیل فراوری نشده                      ,1658
مخروط رازک,1659
مخروط رازک,1659
زعفران,1660
زعفران,1660
" محصولات معطر، دارویی و ادویه‌ها",169
" محصولات معطر، دارویی و ادویه‌ها",1690
آلوئه‌ورا ,1690
آویشن ,1690
آویشن شیرازی ,1690
اسپند ,1690
اسطو خدوس,1690
اسفرزه ,1690
اشنیان (شقار),1690
اکلیل کوهی ,1690
انچوچک,1690
انزروت ,1690
انواع زردچوبه,1690
بابونه,1690
بادر شبی,1690
بادرنجبویه ,1690
بارهنگ,1690
بالنگوی شیرازی ,1690
برگ اکالیپتوس ,1690
برگ بو- دارویی ,1690
برگ دارواش ,1690
برگ سنا ,1690
