,economy,time,AG.LND.TOTL.K2,EN.ATM.GHGT.KT.CE,IS.RRS.GOOD.MT.K6,IS.RRS.PASG.KM,IS.RRS.TOTL.KM,NY.GDP.MKTP.KD
5388,TZA,YR2018,885800.0,81072.95745,,,,57054358529.8858
5389,TZA,YR2019,885800.0,86307.75174,,,,60363511324.6004
5390,TZA,YR2020,885800.0,89255.44823,,,,61565931105.4141
5391,TZA,YR2021,885800.0,,,,,64226431583.1539
5392,UGA,YR2000,199810.0,17089.36095,210.0,,259.0,12220817656.1968
5393,UGA,YR2001,199810.0,17385.64496,220.0,,259.0,12854303430.1863
5394,UGA,YR2002,199810.0,18124.99317,218.0,,259.0,13976829355.9471
5395,UGA,YR2003,199810.0,19838.37918,,,,14881585674.2548
5396,UGA,YR2004,199810.0,19797.34779,,,,15894609936.3319
5397,UGA,YR2005,199810.0,21767.4806,,,,16901146460.5212
5398,UGA,YR2006,199810.0,20348.71245,,,,18723891904.5488
5399,UGA,YR2007,199810.0,23042.01641,,,,20299025448.8812
5400,UGA,YR2008,199810.0,29207.99866,,,,22066817213.6558
5401,UGA,YR2009,199810.0,29536.54421,,,,23567695614.7273
5402,UGA,YR2010,200520.0,30981.82337,,,,24896350765.3932
5403,UGA,YR2011,200520.0,31246.84003,,,,27234530259.5375
5404,UGA,YR2012,200520.0,32797.0134,,,,28279643267.7641
5405,UGA,YR2013,200520.0,32742.66756,,,,29294007439.7726
5406,UGA,YR2014,200520.0,33744.22193,,,,30789849487.5724
5407,UGA,YR2015,200520.0,35408.10639,,,,32387183730.1002
5408,UGA,YR2016,200520.0,35498.4624,,,,33935615078.9833
5409,UGA,YR2017,200520.0,36253.09841,,,,34998276801.8745
5410,UGA,YR2018,200520.0,37555.37683,,,,37204541496.6985
5411,UGA,YR2019,200520.0,38185.42024,,,,39600047064.28
5412,UGA,YR2020,200520.0,39280.05175,,,,40768765796.4806
5413,UGA,YR2021,200520.0,,,,,42210585952.7861
5414,UKR,YR2000,579350.0,367477.6849,172840.0,51767.0,22302.0,69836368849.3183
5415,UKR,YR2001,579350.0,368496.6167,177465.0,49661.0,22219.0,75981969310.6229
5416,UKR,YR2002,579340.0,373106.9335,193141.0,50544.0,22079.0,80039138412.8861
5417,UKR,YR2003,579340.0,397941.2316,225287.0,52558.0,22079.0,87656150954.4385
5418,UKR,YR2004,579340.0,371994.2211,233961.0,51726.0,22011.0,97995502972.09
5419,UKR,YR2005,579380.0,358852.9821,223980.0,52655.0,22001.0,101005170642.605
5420,UKR,YR2006,579360.0,366287.2847,240810.0,53230.0,21891.0,108652697104.575
5421,UKR,YR2007,579330.0,375470.7131,262505.0,53089.0,21873.0,117579433691.217
5422,UKR,YR2008,579320.0,364485.5126,257006.0,53056.0,21676.0,120217318405.036
5423,UKR,YR2009,579320.0,309536.6611,196188.0,48327.0,21678.0,102020662582.215
5424,UKR,YR2010,579320.0,329151.167,218083.0,50248.0,21705.0,106195352549.996
5425,UKR,YR2011,579320.0,345050.8317,243866.0,50593.0,21665.4,111977987704.028
5426,UKR,YR2012,579320.0,337799.5732,237722.0,49329.0,21642.5,112148546939.271
5427,UKR,YR2013,579320.0,333186.4969,224434.0,48981.0,21625.9,112199506223.487
5428,UKR,YR2014,579290.0,298994.1535,211233.0,35865.0,21625.9,100891035818.548
5429,UKR,YR2015,579290.0,249647.2432,195054.0,35367.0,20975.23,91030967789.0717
5430,UKR,YR2016,579290.0,261515.8028,187557.0,36839.0,21603.0,93253017277.0895
5431,UKR,YR2017,579300.0,235470.1646,191914.1,28075.0,21625.9,95453762636.0202
5432,UKR,YR2018,579400.0,246996.3706,186344.1,28685.0,21625.9,98783535744.1445
5433,UKR,YR2019,579400.0,236094.6283,181844.7,28413.0,21625.9,101944118786.821
5434,UKR,YR2020,579400.0,227341.5857,175587.2,10696.0,21625.9,98118355717.3319
5435,UKR,YR2021,579400.0,,,,,101499146883.264
5436,UMC,YR2000,54770802.0,11346444.683568,2247.0,943.0,,8401162963542.52
5437,UMC,YR2001,54769891.2,11639174.624943,4481.0,792.0,,8700101172886.71
5438,UMC,YR2002,54767549.2,12040224.154205,3894.0,954.0,,9104884073818.14
5439,UMC,YR2003,54767589.7,12953539.300895,4665.5,809.0,,9640035032376.25
5440,UMC,YR2004,54767858.5,13929942.067412,4037.0,821.0,,10404162243565.2
